Price,Accommodates,p_Room_Type_Encoded_1
70.0,6,False
29.0,1,True
30.0,4,False
115.0,2,False
160.0,4,False
45.0,2,True
130.0,4,False
40.0,2,False
56.0,3,False
140.0,6,False
55.0,4,False
25.0,1,True
70.0,4,False
60.0,4,False
33.0,2,True
40.0,2,False
22.0,2,True
100.0,4,False
27.0,1,True
60.0,2,False
17.0,1,True
20.0,1,True
75.0,3,False
25.0,2,True
120.0,4,False
45.0,3,True
80.0,2,False
18.0,2,True
135.0,2,False
55.0,4,False
160.0,4,False
11.0,1,True
59.0,4,False
100.0,8,False
40.0,1,True
67.0,4,False
49.0,4,False
33.0,2,True
65.0,5,True
40.0,3,False
75.0,2,True
57.0,3,False
16.0,2,True
90.0,2,True
18.0,2,True
55.0,2,True
25.0,2,True
40.0,2,True
25.0,2,True
68.0,4,False
50.0,2,True
30.0,2,False
68.0,2,True
25.0,1,True
17.0,1,True
35.0,2,False
80.0,3,True
20.0,1,True
30.0,2,True
36.0,2,True
59.0,3,False
58.0,2,False
25.0,1,True
60.0,2,False
38.0,2,True
15.0,2,False
120.0,2,False
23.0,1,True
48.0,2,False
75.0,3,False
150.0,4,False
74.0,5,False
25.0,2,True
53.0,3,False
18.0,1,True
60.0,4,False
23.0,3,True
25.0,2,True
19.0,1,True
129.0,2,False
35.0,2,True
35.0,1,True
78.0,4,False
19.0,2,True
45.0,3,False
13.0,1,True
40.0,2,False
69.0,2,False
100.0,2,False
24.0,1,True
60.0,2,False
31.0,1,True
75.0,2,False
125.0,7,False
39.0,1,True
20.0,2,True
30.0,1,True
22.0,2,True
85.0,5,False
68.0,2,False
25.0,2,True
76.0,4,False
48.0,6,False
50.0,2,False
35.0,2,True
69.0,3,False
85.0,4,False
60.0,6,False
110.0,4,False
45.0,2,False
17.0,2,True
76.0,2,False
70.0,2,False
30.0,2,False
89.0,4,False
30.0,2,True
38.0,2,True
30.0,1,True
14.0,2,True
130.0,5,False
13.0,1,True
59.0,6,False
17.0,2,True
69.0,2,False
30.0,1,True
34.0,2,True
100.0,6,False
60.0,6,False
52.0,5,True
60.0,6,False
18.0,1,True
39.0,3,True
55.0,3,False
55.0,2,True
60.0,4,False
125.0,6,False
29.0,2,True
39.0,1,True
20.0,2,True
26.0,2,True
95.0,4,False
11.0,10,False
130.0,3,False
85.0,2,False
48.0,4,False
32.0,1,True
65.0,2,False
45.0,2,True
25.0,1,True
98.0,5,False
85.0,2,False
120.0,5,False
45.0,2,True
99.0,6,False
51.0,4,False
27.0,8,True
45.0,2,False
41.0,1,True
33.0,2,True
25.0,2,True
45.0,4,False
45.0,4,False
65.0,2,False
50.0,3,False
30.0,2,True
99.0,10,False
68.0,6,False
106.0,6,False
40.0,2,False
30.0,2,True
27.0,1,True
49.0,4,False
22.0,2,True
77.0,2,False
20.0,2,True
18.0,1,True
76.0,4,False
124.0,4,False
20.0,1,True
59.0,4,False
35.0,1,True
35.0,3,True
45.0,2,False
54.0,4,False
35.0,2,True
25.0,1,True
21.0,2,True
45.0,2,True
30.0,1,True
90.0,2,False
40.0,1,True
50.0,2,False
88.0,4,False
75.0,4,False
25.0,2,True
100.0,6,False
55.0,3,False
36.0,1,True
65.0,4,False
58.0,2,False
21.0,8,False
20.0,1,True
52.0,2,True
22.0,2,True
149.0,4,False
130.0,6,False
60.0,4,False
75.0,4,False
25.0,2,True
40.0,2,True
59.0,4,False
50.0,2,True
45.0,2,True
44.0,2,True
74.0,4,False
60.0,4,False
47.0,3,False
70.0,2,False
55.0,1,False
100.0,2,False
99.0,4,False
30.0,1,True
25.0,2,True
73.0,4,False
110.0,7,False
70.0,3,False
30.0,2,True
158.0,4,False
54.0,4,False
35.0,4,True
75.0,2,False
39.0,2,True
65.0,4,False
77.0,4,False
86.0,4,False
70.0,4,False
60.0,2,False
13.0,1,True
38.0,2,True
60.0,4,False
80.0,4,False
68.0,4,False
65.0,3,False
60.0,2,False
26.0,2,True
45.0,4,False
32.0,2,True
15.0,1,True
43.0,3,False
52.0,4,False
55.0,4,False
85.0,4,False
41.0,2,False
35.0,3,False
36.0,1,True
22.0,1,True
17.0,2,True
60.0,5,False
52.0,3,False
17.0,2,True
80.0,4,False
25.0,1,True
55.0,6,False
75.0,4,False
70.0,2,False
59.0,2,False
65.0,2,False
30.0,2,True
75.0,3,False
76.0,10,False
47.0,3,False
42.0,1,True
70.0,3,False
25.0,2,True
35.0,2,True
98.0,6,False
40.0,4,False
26.0,2,True
100.0,1,False
75.0,3,False
45.0,3,False
40.0,5,True
78.0,4,False
75.0,6,False
84.0,2,True
100.0,4,False
35.0,2,True
40.0,2,True
70.0,3,False
120.0,2,False
16.0,1,True
22.0,2,True
80.0,4,False
120.0,4,False
70.0,5,False
30.0,2,True
59.0,3,False
23.0,1,True
36.0,2,True
110.0,8,False
30.0,2,True
31.0,2,True
60.0,2,False
139.0,3,False
21.0,1,True
15.0,2,True
30.0,2,True
32.0,2,True
55.0,4,False
95.0,4,False
25.0,2,True
35.0,1,True
18.0,1,True
48.0,5,False
125.0,4,False
55.0,5,False
38.0,3,False
95.0,6,False
40.0,1,True
100.0,4,False
25.0,2,True
95.0,5,False
29.0,4,True
95.0,8,False
32.0,2,True
148.0,5,False
23.0,1,True
100.0,6,False
65.0,4,True
90.0,4,False
37.0,1,True
18.0,1,True
150.0,4,False
60.0,4,False
71.0,6,False
50.0,4,False
55.0,5,False
40.0,2,False
99.0,4,False
16.0,1,True
109.0,4,False
50.0,2,False
90.0,4,False
90.0,8,False
51.0,3,False
30.0,2,True
30.0,4,True
37.0,3,True
32.0,4,False
49.0,5,False
118.0,6,False
60.0,6,False
19.0,1,True
44.0,2,False
62.0,4,False
39.0,1,True
45.0,2,True
95.0,2,False
40.0,2,True
22.0,1,True
42.0,4,False
20.0,1,True
22.0,2,True
65.0,2,False
93.0,4,False
100.0,4,False
48.0,2,False
40.0,2,True
36.0,2,True
47.0,2,False
120.0,6,False
19.0,1,True
25.0,1,True
25.0,1,True
60.0,5,False
59.0,2,False
20.0,2,True
29.0,1,True
90.0,2,False
94.0,4,False
65.0,1,True
60.0,4,False
55.0,2,False
140.0,6,False
150.0,5,False
55.0,4,False
100.0,5,False
70.0,2,False
59.0,2,False
25.0,1,True
80.0,2,False
59.0,3,False
75.0,4,False
25.0,2,True
47.0,3,False
60.0,3,False
105.0,5,False
85.0,2,False
86.0,2,True
69.0,3,False
85.0,4,False
49.0,3,False
55.0,3,False
80.0,4,False
83.0,4,False
75.0,5,False
85.0,4,False
70.0,2,False
60.0,2,False
141.0,6,False
70.0,1,True
30.0,2,True
45.0,2,True
55.0,4,False
45.0,2,True
82.0,2,False
75.0,4,False
50.0,7,False
35.0,2,True
18.0,2,True
52.0,2,False
24.0,2,True
95.0,2,False
115.0,4,False
81.0,4,False
35.0,2,True
50.0,2,False
120.0,5,False
23.0,1,True
36.0,2,True
29.0,1,True
87.0,6,False
40.0,2,False
21.0,1,True
70.0,3,False
44.0,6,False
25.0,2,True
33.0,1,True
100.0,5,False
70.0,3,True
30.0,2,True
75.0,4,False
21.0,1,True
35.0,2,False
18.0,1,True
12.0,1,True
77.0,2,True
20.0,2,True
58.0,2,False
20.0,1,True
75.0,4,False
105.0,7,False
29.0,2,False
115.0,6,False
50.0,4,False
130.0,2,True
80.0,4,False
69.0,5,False
31.0,2,True
40.0,2,True
32.0,2,True
59.0,2,False
42.0,2,True
55.0,2,True
63.0,3,False
72.0,4,False
50.0,3,False
34.0,3,False
45.0,4,False
65.0,3,False
70.0,2,False
120.0,5,False
76.0,4,False
